 Num spins       Tempreature         MC cycles       Mean energy      Mean abs mag          Mean mag        Energy var      Mean abs var          Heat cap          Mag susc        Acc states
        20         1.0000000                 2        -1.9900000        0.99750000        0.99750000       0.040000000      0.0025000000       0.040000000      0.0025000000                 1
        20         1.0000000               100        -1.9965000        0.99905000        0.99905000       0.033100000      0.0025390000       0.033100000      0.0025390000                44
        20         1.0000000               200        -1.9958000        0.99890000        0.99890000       0.033744000      0.0024160000       0.033744000      0.0024160000                86
        20         1.0000000               300        -1.9962000        0.99901667        0.99901667       0.029424000      0.0020465556       0.029424000      0.0020465556               118
        20         1.0000000               400        -1.9962750        0.99903750        0.99903750       0.028149750      0.0019544375       0.028149750      0.0019544375               151
        20         1.0000000               500        -1.9967800        0.99917000        0.99917000       0.024732640      0.0017044400       0.024732640      0.0017044400               174
        20         1.0000000               600        -1.9969167        0.99920833        0.99920833       0.023997222      0.0016326389       0.023997222      0.0016326389               199
        20         1.0000000               700        -1.9968286        0.99918571        0.99918571       0.024662531      0.0016776327       0.024662531      0.0016776327               231
        20         1.0000000               800        -1.9970000        0.99923125        0.99923125       0.023700000      0.0016011094       0.023700000      0.0016011094               256
        20         1.0000000               900        -1.9970667        0.99924444        0.99924444       0.023580444      0.0016160988       0.023580444      0.0016160988               292
        20         1.0000000              1000        -1.9971400        0.99926500        0.99926500       0.022808160      0.0015539100       0.022808160      0.0015539100               314
        20         1.0000000              1100        -1.9972364        0.99929091        0.99929091       0.021963107      0.0014897851       0.021963107      0.0014897851               328
        20         1.0000000              1200        -1.9972833        0.99930417        0.99930417       0.021447889      0.0014479931       0.021447889      0.0014479931               354
        20         1.0000000              1300        -1.9971538        0.99927308        0.99927308       0.022236686      0.0014886331       0.022236686      0.0014886331               395
        20         1.0000000              1400        -1.9971357        0.99926786        0.99926786       0.022689776      0.0015213010       0.022689776      0.0015213010               422
        20         1.0000000              1500        -1.9971667        0.99927667        0.99927667       0.022308889      0.0014907156       0.022308889      0.0014907156               448
        20         1.0000000              1600        -1.9971438        0.99927188        0.99927188       0.022261734      0.0014816836       0.022261734      0.0014816836               471
        20         1.0000000              1700        -1.9971059        0.99926176        0.99926176       0.022390810      0.0014937682       0.022390810      0.0014937682               501
        20         1.0000000              1800        -1.9971222        0.99926667        0.99926667       0.022687358      0.0015071111       0.022687358      0.0015071111               526
        20         1.0000000              1900        -1.9970421        0.99924737        0.99924737       0.023152975      0.0015313130       0.023152975      0.0015313130               572
        20         1.0000000              2000        -1.9970800        0.99925750        0.99925750       0.022789440      0.0015044775       0.022789440      0.0015044775               594
        20         1.0000000              2100        -1.9971143        0.99926667        0.99926667       0.022459537      0.0014801270       0.022459537      0.0014801270               621
        20         1.0000000              2200        -1.9971364        0.99927273        0.99927273       0.022210744      0.0014611570       0.022210744      0.0014611570               654
        20         1.0000000              2300        -1.9970957        0.99926304        0.99926304       0.022330253      0.0014653667       0.022330253      0.0014653667               689
        20         1.0000000              2400        -1.9971250        0.99927083        0.99927083       0.022060417      0.0014456597       0.022060417      0.0014456597               716
        20         1.0000000              2500        -1.9971720        0.99928200        0.99928200       0.021744966      0.0014297904       0.021744966      0.0014297904               748
        20         1.0000000              2600        -1.9971423        0.99927500        0.99927500       0.021948822      0.0014397500       0.021948822      0.0014397500               781
        20         1.0000000              2700        -1.9971074        0.99926667        0.99926667       0.022179089      0.0014515556       0.022179089      0.0014515556               813
        20         1.0000000              2800        -1.9971321        0.99927321        0.99927321       0.021953015      0.0014351416       0.021953015      0.0014351416               838
        20         1.0000000              2900        -1.9971379        0.99927414        0.99927414       0.021992390      0.0014409738       0.021992390      0.0014409738               864
        20         1.0000000              3000        -1.9971400        0.99927500        0.99927500       0.022008160      0.0014397500       0.022008160      0.0014397500               884
        20         1.0000000              3100        -1.9971548        0.99927903        0.99927903       0.021845894      0.0014275661       0.021845894      0.0014275661               916
        20         1.0000000              3200        -1.9971750        0.99928438        0.99928438       0.021857750      0.0014264023       0.021857750      0.0014264023               932
        20         1.0000000              3300        -1.9971576        0.99928030        0.99928030       0.021883401      0.0014261478       0.021883401      0.0014261478               966
        20         1.0000000              3400        -1.9971529        0.99927941        0.99927941       0.021934173      0.0014275952       0.021934173      0.0014275952               986
        20         1.0000000              3500        -1.9971657        0.99928286        0.99928286       0.021792444      0.0014171396       0.021792444      0.0014171396              1012
        20         1.0000000              3600        -1.9971250        0.99927222        0.99927222       0.022082639      0.0014381358       0.022082639      0.0014381358              1050
        20         1.0000000              3700        -1.9971135        0.99926892        0.99926892       0.022288900      0.0014537757       0.022288900      0.0014537757              1074
        20         1.0000000              3800        -1.9971237        0.99927105        0.99927105       0.022195986      0.0014506122       0.022195986      0.0014506122              1102
        20         1.0000000              3900        -1.9970795        0.99926026        0.99926026       0.022547216      0.0014708554       0.022547216      0.0014708554              1138
        20         1.0000000              4000        -1.9970725        0.99925875        0.99925875       0.022681897      0.0014777194       0.022681897      0.0014777194              1182
        20         1.0000000              4100        -1.9970098        0.99924268        0.99924268       0.023389230      0.0015242469       0.023389230      0.0015242469              1216
        20         1.0000000              4200        -1.9970500        0.99925238        0.99925238       0.023119000      0.0015097596       0.023119000      0.0015097596              1238
